Date,State
15/12/2020 04:12:59,LOCKED
15/12/2020 04:14:07,UNLOCKED
15/12/2020 04:14:25,LOCKED
15/12/2020 04:14:40,ALERT
15/12/2020 04:14:49,UNLOCKED
15/12/2020 06:48:50,UNLOCKED
15/12/2020 06:49:16,LOCKED
15/12/2020 06:49:35,ALERT
15/12/2020 06:49:52,ALERT
15/12/2020 06:50:10,UNLOCKED
15/12/2020 06:52:06,UNLOCKED
15/12/2020 06:52:40,LOCKED
15/12/2020 06:52:58,ALERT
15/12/2020 06:53:21,ALERT
15/12/2020 06:53:24,ALERT
15/12/2020 06:56:39,UNLOCKED
15/12/2020 06:57:06,LOCKED
15/12/2020 06:57:22,ALERT
15/12/2020 06:57:38,ALERT
15/12/2020 06:59:13,UNLOCKED
15/12/2020 06:59:31,LOCKED
15/12/2020 06:59:46,ALERT
15/12/2020 07:00:02,UNLOCKED
15/12/2020 07:01:25,UNLOCKED
15/12/2020 07:01:42,LOCKED
15/12/2020 07:02:19,ALERT
15/12/2020 07:02:40,UNLOCKED
15/12/2020 07:04:02,UNLOCKED
15/12/2020 07:04:25,LOCKED
15/12/2020 07:04:56,ALERT
15/12/2020 07:05:19,UNLOCKED
15/12/2020 07:09:08,UNLOCKED
15/12/2020 07:09:39,LOCKED
15/12/2020 07:10:03,ALERT
15/12/2020 07:10:21,UNLOCKED
15/12/2020 07:10:39,LOCKED
15/12/2020 07:10:55,ALERT
15/12/2020 07:11:19,UNLOCKED
